initial,last,min
1.9167193,0.4906408,0.14333306
1.7540109,1.0815847,0.59334534
2.3914976,0.11626762,0.111869566
3.25922,0.8391834,0.8391834
2.4947891,1.1062306,1.0722264
3.7252152,0.5433111,0.4419829
2.4670064,0.3859027,0.3859027
2.1267838,0.046975076,0.044595744
3.3918002,0.7595754,0.7595754
1.9333742,0.209574,0.18325767
2.1889868,0.1052771,0.0950809
1.8700006,0.04335361,0.03580314
2.0425155,1.104832,0.6452168
2.0897899,0.06577422,0.033218637
1.93611,0.16206989,0.05101498
1.7884576,0.9046572,0.9046572
1.9331696,0.3000843,0.018595211
1.2872164,0.25466475,0.039884202
1.4350325,0.8448964,0.60814923
2.1599004,0.5768951,0.5768951
