initial,last,min
2.0258732,0.4945851,0.42694974
1.9426066,1.036198,1.0249561
3.0476499,0.7854629,0.76886517
2.9616916,0.9501048,0.9501048
2.0040457,1.167293,1.167293
1.8703787,0.7653041,0.7322396
1.7113093,0.75641507,0.7488375
4.1880445,2.4351947,2.4351947
2.215302,0.8688953,0.8617546
1.1763798,0.76082796,0.74925375
1.8639743,1.2960367,1.2767
1.7472389,0.98934984,0.97097
2.4293604,0.9929709,0.9929709
3.137058,2.1085556,2.0783806
2.37293,1.2444429,1.2388244
3.6104922,0.29376677,0.27071762
2.4225566,1.1890713,1.182086
2.113371,1.3286382,1.3115726
3.2479954,1.6285682,1.6285682
1.9195211,1.3047903,1.2576146
