initial,last,min
2.063,0.66085726,0.3944411
1.9985387,1.2712531,1.256365
3.1298223,1.5700666,1.5700666
3.002735,1.5878488,1.5845534
1.9792206,1.3226725,1.2872785
1.9129158,1.5730188,1.2578956
1.7642788,1.5327151,1.0406536
4.2417564,2.448085,2.447176
2.341651,1.5993235,1.489102
1.1815774,0.8901106,0.8007574
1.9334244,1.7283607,1.4205016
1.7706797,1.0255424,1.0208122
2.4553375,1.8897294,1.2249277
3.2977138,1.8425385,1.8325728
2.4029431,1.4449925,1.4248866
3.7234716,2.6392689,1.4677788
2.4392028,1.6205329,1.4477133
2.1359785,1.3617363,1.3617363
3.3250778,1.9530193,1.6208295
1.9448743,0.8195942,0.40198395
