initial,last,min
1.44736,0.49704283,0.49704283
2.8511746,0.07913629,0.07753543
1.8370353,0.9557176,0.95395863
1.5732067,0.6766872,0.6748973
2.0322967,1.0279927,1.0279927
1.980251,0.9217571,0.9136409
2.1296687,0.92129916,0.9008621
2.0351331,0.5117974,0.50612235
1.9982239,0.04333537,0.03972604
1.5057865,0.07086817,0.066214934
1.940183,1.0642793,1.0339334
2.5467396,0.21001698,0.2061175
1.8363876,0.030653665,0.026173787
2.4948094,1.2004263,1.1324342
1.8750997,1.201141,1.1739619
1.4505367,0.050909758,0.046847135
2.5267017,1.0265119,1.0241429
1.6585864,0.5406647,0.53392166
3.0277038,0.9872131,0.9872131
1.647802,0.032317743,0.023509461
1.631966,0.72634125,0.6979654
1.8450825,1.2355087,1.2092755
1.5252436,0.8701386,0.83450603
2.844374,0.18717365,0.18660696
2.0852349,1.1892982,1.1806257
2.933876,0.20639329,0.16749302
1.7743701,0.725893,0.7071387
2.7734675,0.1682473,0.14805637
1.6567603,0.43373197,0.43373197
1.6969279,0.8669557,0.81686056
2.014122,1.0877532,1.0753382
2.477222,1.2555627,1.1991436
1.7972853,0.117439814,0.11667082
5.0909553,2.27182,2.1906283
3.0437436,1.3463675,1.3302534
2.0623617,0.0800019,0.07211075
2.1639657,0.6224546,0.58730155
2.3772573,0.54729354,0.54729354
2.6262112,1.3399259,1.3242612
1.9333748,0.091383986,0.08513595
1.7190379,0.86553794,0.5866591
2.1220765,0.9263854,0.9028722
2.0965288,0.13243973,0.11964113
1.7525904,0.07094767,0.07094767
1.872195,0.9001854,0.8804771
2.4645774,0.19969758,0.19969758
2.7409506,0.4051982,0.33260658
2.2070553,0.11653432,0.09340573
4.209926,2.2400131,2.2078767
2.4347124,0.19161184,0.18562111
