initial,last,min
1.990394,0.22674213,0.2087818
1.9144713,1.1405063,1.1328765
3.0204077,0.1619239,0.15313523
2.9185405,0.5636598,0.4049809
1.9731301,0.9558514,0.89543074
1.8574518,0.84129393,0.40763897
1.668815,0.6141359,0.05678329
4.1303315,2.6488986,2.099005
2.2013278,0.24920182,0.0570288
1.1689897,0.3075758,0.25010914
1.8546873,0.28950018,0.20464288
1.7052174,1.3436482,0.7334854
2.4202628,1.1447483,1.1447483
3.0672936,1.7236727,1.6008463
2.3653028,0.5400325,0.25507423
3.6186635,1.8170298,1.4402552
2.400858,1.041392,1.0294284
2.086554,0.19139795,0.1883648
3.2160676,1.4119298,1.2237387
1.9144105,0.22071499,0.15840791
