initial,last,min
1.9996068,0.11549739,0.10517093
1.928047,1.0827079,1.050491
2.9326878,1.4101741,1.3338084
2.9237695,1.1970845,1.1813866
1.9608872,0.5382016,0.5332863
1.8609593,0.91939545,0.9157513
1.7072238,0.7305043,0.7242027
4.1351647,2.1634717,2.1229348
2.2178254,1.167299,1.1637374
1.1604835,0.6162982,0.5857356
1.8375951,1.2242378,1.1885661
1.7360542,0.6509903,0.61396825
2.413448,1.1706097,1.0273283
3.0844936,1.5105399,1.3724453
2.364442,0.030969441,0.029951822
3.650544,0.19340186,0.18582542
2.4011574,0.330024,0.32098696
2.0896585,0.8719433,0.8503573
3.2027388,1.1253909,1.0784025
1.8726915,0.13632576,0.13250192
