initial,last,min
1.846464,0.6655818,0.6655818
1.7044635,0.7903182,0.7903182
2.3651206,0.1596874,0.1596874
3.0463827,1.7343365,1.7290566
2.3315284,1.2298589,1.1879399
3.6318524,1.2423114,1.2329417
2.3955488,0.9572158,0.94219875
2.034182,0.041776408,0.041776408
3.206457,0.31446725,0.294874
1.8629125,0.06614092,0.06124288
2.0577016,0.026752558,0.02313622
1.7902633,0.06622956,0.065953985
1.9562914,0.7243757,0.6979357
1.9164307,0.030498818,0.02847588
1.86951,0.09062097,0.08549847
1.6971701,0.8777011,0.8747398
1.8512542,0.110575825,0.107297525
1.2073472,0.007451292,0.0065546124
1.3672857,0.038400743,0.038400743
2.0928044,0.10483228,0.095721275
